#,Reference,Qty,MANUFACTURER,Manufacturer Part Number,Value,Package,Type
1,"P1,P2",2,JST Sales America Inc.,S2B-PH-SM4-TB,-,,SMD
2,S1,1,CK COMPONENTS,JS102011JCQN,-,,SMD
3,U1,1,,IP5306,-,,SMD
4,J1,1,Molex,532611071,-,S2B-PH-SM4-TB,SMD
5,"C1,C2,C5,C7",4,,,10u,0603,SMD
6,"C3,C4,C6",3,,,22u,0603,SMD
7,D1,1,,LED,25%,0603,SMD
8,D2,1,,LED,50%,0603,SMD
9,D3,1,,LED,75%,0603,SMD
10,D4,1,,LED,100%,0603,SMD
11,D5,1,,LED,LED,0603,SMD
12,L1,1,,,1uH,0603,SMD
13,"R1,R6,R7,R8",4,,,10K,0603,SMD
14,"R2,R3,R4,R5,R9,R10,R11",7,,,100,0603,SMD
15,SW1,1,,,SW_Push,,SMD
